Algortimo,Acuracia,distancia,feature,proj
Nearest Neighbors,81.83906882591094,euclidean,featureFos,tsne
SVM Linear,50.0,euclidean,featureFos,tsne
SVM Polinomial grau 3,50.0,euclidean,featureFos,tsne
Decision Tree (gini),81.4574898785425,euclidean,featureFos,tsne
Random Forest,68.0921052631579,euclidean,featureFos,tsne
Neural Net,50.0,euclidean,featureFos,tsne
AdaBoost,61.556342780026995,euclidean,featureFos,tsne
Naive Bayes,51.819163292847506,euclidean,featureFos,tsne
Nearest Neighbors,90.0495951417004,euclidean,featureGlcm,tsne
SVM Linear,74.15519568151147,euclidean,featureGlcm,tsne
SVM Polinomial grau 3,80.51686909581646,euclidean,featureGlcm,tsne
Decision Tree (gini),85.33906882591094,euclidean,featureGlcm,tsne
Random Forest,89.03981106612684,euclidean,featureGlcm,tsne
Neural Net,75.02361673414305,euclidean,featureGlcm,tsne
AdaBoost,88.1221322537112,euclidean,featureGlcm,tsne
Naive Bayes,80.62854251012146,euclidean,featureGlcm,tsne
Nearest Neighbors,78.48751686909581,euclidean,featureLpq,tsne
SVM Linear,76.33265856950068,euclidean,featureLpq,tsne
SVM Polinomial grau 3,78.70107962213226,euclidean,featureLpq,tsne
Decision Tree (gini),77.6255060728745,euclidean,featureLpq,tsne
Random Forest,77.43151147098516,euclidean,featureLpq,tsne
Neural Net,75.60222672064778,euclidean,featureLpq,tsne
AdaBoost,77.11572199730095,euclidean,featureLpq,tsne
Naive Bayes,76.70445344129554,euclidean,featureLpq,tsne
Nearest Neighbors,82.24358974358974,cosine,featureFos,tsne
SVM Linear,50.0,cosine,featureFos,tsne
SVM Polinomial grau 3,50.85526315789474,cosine,featureFos,tsne
Decision Tree (gini),79.79959514170041,cosine,featureFos,tsne
Random Forest,77.88495276653171,cosine,featureFos,tsne
Neural Net,50.0,cosine,featureFos,tsne
AdaBoost,69.54959514170041,cosine,featureFos,tsne
Naive Bayes,54.7338056680162,cosine,featureFos,tsne
Nearest Neighbors,89.28981106612687,cosine,featureGlcm,tsne
SVM Linear,69.96761133603238,cosine,featureGlcm,tsne
SVM Polinomial grau 3,50.0,cosine,featureGlcm,tsne
Decision Tree (gini),86.19770580296897,cosine,featureGlcm,tsne
Random Forest,85.73717948717949,cosine,featureGlcm,tsne
Neural Net,69.39507422402158,cosine,featureGlcm,tsne
AdaBoost,76.3491902834008,cosine,featureGlcm,tsne
Naive Bayes,68.21423751686909,cosine,featureGlcm,tsne
Nearest Neighbors,79.57321187584346,cosine,featureLpq,tsne
SVM Linear,55.52024291497977,cosine,featureLpq,tsne
SVM Polinomial grau 3,61.273279352226716,cosine,featureLpq,tsne
Decision Tree (gini),77.50742240215925,cosine,featureLpq,tsne
Random Forest,76.04993252361673,cosine,featureLpq,tsne
Neural Net,65.14844804318489,cosine,featureLpq,tsne
AdaBoost,71.9412955465587,cosine,featureLpq,tsne
Naive Bayes,65.81646423751687,cosine,featureLpq,tsne
Nearest Neighbors,82.97402159244264,manhattan,featureFos,tsne
SVM Linear,50.0,manhattan,featureFos,tsne
SVM Polinomial grau 3,57.43421052631579,manhattan,featureFos,tsne
Decision Tree (gini),79.5300269905533,manhattan,featureFos,tsne
Random Forest,81.7995951417004,manhattan,featureFos,tsne
Neural Net,50.0,manhattan,featureFos,tsne
AdaBoost,72.52024291497975,manhattan,featureFos,tsne
